Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024;2025
Bangladesh;BGD;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;940.6544708;987.3131994;1044.891886;1099.385888;1145.110166;1206.366467;1260.754895;1315.469233;1372.953839;1429.986453;1511.905006;1597.587406;1658.802309;1746.127258;1861.512563;2019.738396;2195.294855;2388.100252;2554.857882;2675.259459;2833.695444;3051.269833;3434.278151;3691.104311;3972.506477;4212.235781;4579.132287;4882.606926;5490.158819;6047.124015;6640.584373;7441.06914;8450.549025;9147.777507;9646.769844
Bulgaria;BGR;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7545.585203;7213.047828;6914.765038;7029.738721;7335.235042;7737.756817;6846.442883;5749.364608;6177.635605;5807.813191;6422.789329;6961.039968;7786.421745;8417.470733;9201.739738;10291.44588;11408.04952;12822.31305;14346.87588;14180.72807;14955.91578;15747.42016;16327.28774;16893.81669;17990.82696;18901.1717;20745.4005;22316.9752;24053.25407;26814.47171;27376.49857;30971.91319;35813.69516;37501.73861;41086.11941
Bahrain;BHR;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26902.06115;31657.36404;33648.22687;37869.50464;37579.16865;38839.43652;40105.8477;40965.34573;42281.29521;43560.53775;45687.52174;46161.57585;45091.48942;45426.93459;46317.02848;47268.27216;48009.49174;49347.49462;50330.32486;48625.65692;49254.57701;52677.45112;56712.56927;56310.31175;54299.05646;48034.24689;47428.90189;50184.50058;51993.13078;56599.52144;53436.0317;54954.67579;61677.65385;64171.08574;67210.98909
Bahamas;BHS;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19817.33977;19296.10818;18635.89911;18780.87007;19440.9086;20377.3197;21287.33803;21606.2277;22555.7698;24183.56794;25421.60221;26351.05454;27171.28626;27030.87489;27659.5154;29142.87645;30401.4829;31232.1059;30678.60153;29196.59404;29624.95123;30073.65241;31035.55006;30294.47683;31726.17409;32137.57847;32285.27604;34282.17104;35227.76191;36116.0002;27204.62591;31064.68222;36791.25308;39090.16651;41197.91838
Bosnia and Herzegovina;BIH;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1042.54532;974.9252235;982.2480423;1066.761992;1269.027642;1506.508531;2268.080538;3040.395373;3523.082466;3874.341356;4147.038135;4307.123118;4664.685121;4917.864024;5408.161505;5955.839207;6870.506528;7686.413935;8586.778048;8693.618397;9086.748535;9761.515196;10121.15564;10808.31175;11167.86749;11848.63261;12899.1036;13626.91531;14858.27989;16428.39348;16369.76684;18285.67112;21115.63425;22508.8804;21971.0504
Belarus;BLR;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5220.474731;5329.797812;4917.121155;4640.856636;4190.323889;3845.706818;4039.340424;4596.486158;5061.334995;5331.41744;5795.65224;6238.098627;6697.154364;7361.721615;8482.920206;9636.891123;10994.59813;12320.02402;13886.13141;14034.19112;15339.0999;16563.20141;18114.75086;19014.05297;19037.88474;18133.53131;17832.47789;18413.74756;20025.98155;22301.59324;24872.30667;27611.18011;28429.49488;30834.17737;33006.41667
Belize;BLZ;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4473.902909;5060.510706;5714.306214;6083.96778;6081.740728;6100.070489;6096.384372;6252.020014;6342.855848;6800.701348;7555.134334;7863.517145;8165.866019;8863.005408;9258.882961;9480.480682;9924.689201;10242.84756;9985.978816;9744.230205;9734.892397;9697.853439;9266.091461;9514.403543;9489.946832;9538.190541;9401.53294;9121.747164;9527.70914;10531.32344;9618.016435;11677.46101;13465.98071;13823.43795;15092.78085
Bermuda;BMU;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;35944.53835;35583.99186;36109.73286;37812.99849;38603.85388;40917.61041;42545.12022;44995.78546;46915.84584;48798.90501;54176.37775;59092.87597;58862.6908;61829.32401;64790.27392;67771.46838;73590.11607;77894.06462;77556.435;73336.98752;72188.69283;70911.54232;69149.05003;71519.63985;71988.53836;75943.4643;80412.18349;85680.97019;85978.21772;90984.45767;85146.40063;92319.67149;105142.41;114372.0499;119718.5847
Bolivia;BOL;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2284.012683;2434.347096;2479.710288;2594.877374;2720.803789;2853.394103;2976.76635;3121.245299;3257.049132;3259.829448;3359.095105;3434.144157;3514.914263;3620.337722;3808.218004;4032.726398;4282.871648;4521.67932;4810.278583;4919.810319;5100.527572;5388.512935;5866.984142;6589.671455;7047.20153;7152.04465;7547.903766;8510.266857;8952.587853;9174.445636;8293.991212;9454.198147;10371.96291;10925.27305;11189.80551
Brazil;BRA;GDP per capita PPP (current international $);NY.GDP.PCAP.PP.CD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6687.922948;6866.630381;6869.410006;7259.988857;7727.245417;8096.911492;8300.634141;8601.609031;8598.805692;8634.607846;9091.768514;9303.645292;9616.594855;9801.962125;10525.71138;11081.24747;11750.53124;12672.50512;13445.24547;13390.68313;14451.71584;15211.79204;15198.08633;15722.33352;15827.30816;14821.43832;14309.20615;14559.04889;15463.74264;16069.83802;16101.61831;18075.706;19876.85335;21175.6187;22333.41166
